No.,Date(of entry) m/d/y,Date(of exit) m/d/y,Date Variance in days,Entry(usd),Entry At,Amount Of Shares,Exit(usd),Exit At,Commission(usd),Transaction Fee(usd),Variance(usd)
1,11/22/2023,12/15/2023,23,527.02,479.11,1.10,538.03,489.12,0.54,0.58,9.89
2,02/05/2024,02/26/2024,21,698.22,691.3,1.01,809.1413,801.13,0.55,0.59,109.7813
3,2/12/2024,03/06/2024,23,542.8,723.73,0.75,662.67,883.56,0.55,0.57,118.75
4,2/29/2024,,-45351,274.84,785.26,0.35,,,0.55,,
5,3/5/2024,,-45356,757.4424,860.73,0.88,,,0.55,,
6,03/06/2024,,,660.59,880.79,0.75,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,, ,,,,